,Country ,Year,Population ,Per capita GNI ,"Agriculture, hunting, forestry, fishing (ISIC A-B) ",Construction (ISIC F) ,Exports of goods and services ,Imports of goods and services ,"Transport, storage and communication (ISIC I) ","Wholesale, retail trade, restaurants and hotels (ISIC G-H) ",Gross National Income(GNI) in USD ,Gross Domestic Product (GDP) ,cluster
182, Eswatini ,2021,1192271,3586,401475827.0,129308540.0,2171065349.0,2121942052.0,235885112.0,714092126.0,4275073609.0,4732011477.0,0
183, Sweden ,2021,10467097,62469,8200134428.0,37899897565.0,289000000000.0,262000000000.0,74236582199.0,65556768648.0,654000000000.0,636000000000.0,0
184, Switzerland ,2021,8691406,90045,5069009269.0,39254346512.0,569000000000.0,448000000000.0,64280177275.0,132000000000.0,783000000000.0,813000000000.0,2
185, Syrian Arab Republic ,2021,21324367,997,4061155154.0,668397571.0,6363811795.0,6422069318.0,1868476685.0,4433297290.0,21250485765.0,19718893437.0,0
186, Tajikistan ,2021,9750064,1047,2111921194.0,708268303.0,2162310547.0,4260262550.0,705836579.0,1253761435.0,10213147997.0,8746309306.0,0
187, Thailand ,2021,71601103,6818,43250334885.0,13732548920.0,295000000000.0,296000000000.0,37323185804.0,101000000000.0,488000000000.0,506000000000.0,0
188, Togo ,2021,8644829,946,1551643814.0,221505564.0,2356278736.0,3131487428.0,1026978396.0,678268985.0,8181907157.0,8160194303.0,0
189, Tonga ,2021,106017,4699,77031257.0,35665378.0,59095773.0,287133932.0,21320834.0,48700827.0,498179544.0,471831997.0,0
190, Trinidad and Tobago ,2021,1525663,15316,235644490.0,1201245953.0,11347080413.0,8610899685.0,1229057947.0,5511254184.0,23367069693.0,24460196271.0,0
191, United Arab Emirates ,2021,9365145,43217,3556984202.0,32396771083.0,425000000000.0,348000000000.0,29800974251.0,60785190203.0,405000000000.0,405000000000.0,2
192, Tunisia ,2021,12262946,3679,4733425579.0,1876458239.0,19667294892.0,24383185820.0,3296156691.0,6839229907.0,45112589000.0,46687298709.0,0
193, Türkiye ,2021,84775404,9519,45399712020.0,41491742720.0,289000000000.0,291000000000.0,94603608855.0,128000000000.0,807000000000.0,819000000000.0,0
194, Turkmenistan ,2021,6341855,8070,5732306511.0,3847641651.0,40057979134.0,23805746108.0,4093016852.0,2678884253.0,51178916720.0,53954394309.0,0
195, Turks and Caicos Islands ,2021,45114,22878,4067945.0,96990571.0,734053127.0,529852492.0,96093934.0,302064615.0,1032125773.0,943269768.0,0
196, Tuvalu ,2021,11204,7156,5258318.0,8338189.0,8163790.0,56973355.0,2554040.0,8638665.0,80175578.0,60170178.0,0
197, Uganda ,2021,45853778,915,10000772280.0,2292619460.0,5665596451.0,10540836310.0,2143202700.0,4479975749.0,41950293762.0,42661087760.0,0
198, Ukraine ,2021,43531422,4697,21275195002.0,5564206781.0,81532234815.0,83781101417.0,20143340365.0,29069760854.0,204000000000.0,200000000000.0,0
199, North Macedonia ,2021,2103330,6285,1057729694.0,662630184.0,9152027771.0,11365525325.0,1009794818.0,2293070504.0,13218812522.0,13881177347.0,0
200, Egypt ,2021,109262178,3778,48710599334.0,30758142541.0,44980585703.0,82182093276.0,38550842048.0,65655681490.0,413000000000.0,426000000000.0,0
201, United Kingdom ,2021,67281039,46338,21131537302.0,166000000000.0,875000000000.0,899000000000.0,276000000000.0,358000000000.0,3120000000000.0,3130000000000.0,2
202, U.R. of Tanzania: Mainland ,2021,61870726,1117,18380110642.0,9733270274.0,10081975579.0,11731968361.0,6050619910.0,6864031222.0,69078899566.0,70296924623.0,0
203, Zanzibar ,2021,1717608,1190,563025564.0,194188766.0,298366403.0,347196358.0,94004423.0,425674657.0,2044323819.0,2080370103.0,0
204, United States ,2021,336997624,70081,207000000000.0,945000000000.0,2540000000000.0,3400000000000.0,2490000000000.0,3520000000000.0,23600000000000.0,23300000000000.0,1
205, Burkina Faso ,2021,22100683,865,3446317424.0,641185343.0,5424483543.0,5848263830.0,838024778.0,1780720057.0,19113903222.0,19737616003.0,0
206, Uruguay ,2021,3426260,16498,3909858221.0,2714508318.0,18674430265.0,15021487601.0,5102265724.0,7220607365.0,56527549591.0,59317612018.0,0
207, Uzbekistan ,2021,34081449,2023,17297620939.0,4317095766.0,16436730553.0,27794836661.0,4604505732.0,4484443837.0,68960168219.0,69238903166.0,0
208, Venezuela (Bolivarian Republic of) ,2021,28199867,3528,5702517672.0,2516933712.0,29554197590.0,49964407683.0,7160806643.0,25569357335.0,99479326894.0,112000000000.0,0
209, Samoa ,2021,218764,3825,79620468.0,37057344.0,97807382.0,430195258.0,62978113.0,215655199.0,836816618.0,857261321.0,0
210, Yemen ,2021,32981641,301,1911150983.0,491907737.0,1183138429.0,4140871555.0,1527507375.0,1997207248.0,9929301347.0,9946815477.0,0
211, Zambia ,2021,19473125,1062,628528683.0,3252116619.0,11501344444.0,7735234719.0,2060541275.0,3881353112.0,20679619455.0,21313366728.0,0
